entry_time,entry_price,entry_dir,entry_reason,exit_time,exit_price,raw_points,export_slippage_one_way_pts,export_slippage_round_trip_pts,export_net_points,export_net_pnl,points,pnl,exit_reason,cost_points,cost_cash
2022-01-03 15:30:00,18264.0,LONG,15:15訊號進場,2022-01-07 15:30:00,18169.0,-95.0,2.0,4.0,-99.0,-19800.0,-99.0,-19800.0,15:15訊號翻正_平倉,4.0,800.0
2022-01-10 15:30:00,18292.0,LONG,15:15訊號進場,2022-01-11 15:30:00,18261.0,-31.0,2.0,4.0,-35.0,-7000.0,-35.0,-7000.0,15:15訊號翻正_平倉,4.0,800.0
2022-01-13 15:30:00,18513.0,LONG,15:15訊號進場,2022-01-14 15:30:00,18409.0,-104.0,2.0,4.0,-108.0,-21600.0,-108.0,-21600.0,15:15訊號翻正_平倉,4.0,800.0
2022-01-17 15:30:00,18521.0,LONG,15:15訊號進場,2022-01-18 15:30:00,18381.0,-140.0,2.0,4.0,-144.0,-28800.0,-144.0,-28800.0,15:15訊號翻正_平倉,4.0,800.0
2022-02-09 15:30:00,18165.0,LONG,15:15訊號進場,2022-02-14 15:30:00,17971.0,-194.0,2.0,4.0,-198.0,-39600.0,-198.0,-39600.0,15:15訊號翻正_平倉,4.0,800.0
2022-02-16 15:30:00,18249.0,LONG,15:15訊號進場,2022-02-17 15:30:00,18242.0,-7.0,2.0,4.0,-11.0,-2200.0,-11.0,-2200.0,15:15訊號翻正_平倉,4.0,800.0
2022-03-10 15:30:00,17431.0,LONG,15:15訊號進場,2022-03-11 15:30:00,17292.0,-139.0,2.0,4.0,-143.0,-28600.0,-143.0,-28600.0,15:15訊號翻正_平倉,4.0,800.0
2022-03-16 15:30:00,16991.0,LONG,15:15訊號進場,2022-03-28 15:30:00,17487.0,496.0,2.0,4.0,492.0,98400.0,492.0,98400.0,15:15訊號翻正_平倉,4.0,800.0
2022-03-29 15:30:00,17578.0,LONG,15:15訊號進場,2022-03-31 15:30:00,17649.0,71.0,2.0,4.0,67.0,13400.0,67.0,13400.0,15:15訊號翻正_平倉,4.0,800.0
2022-04-01 15:30:00,17591.0,LONG,15:15訊號進場,2022-04-06 15:30:00,17502.0,-89.0,2.0,4.0,-93.0,-18600.0,-93.0,-18600.0,15:15訊號翻正_平倉,4.0,800.0
2022-04-13 15:30:00,17281.0,LONG,15:15訊號進場,2022-04-14 15:30:00,17316.0,35.0,2.0,4.0,31.0,6200.0,31.0,6200.0,15:15訊號翻正_平倉,4.0,800.0
2022-05-18 15:30:00,16198.0,LONG,15:15訊號進場,2022-05-19 15:30:00,15851.0,-347.0,2.0,4.0,-351.0,-70200.0,-351.0,-70200.0,15:15訊號翻正_平倉,4.0,800.0
2022-05-20 15:30:00,16158.0,LONG,15:15訊號進場,2022-05-23 15:30:00,16168.0,10.0,2.0,4.0,6.0,1200.0,6.0,1200.0,15:15訊號翻正_平倉,4.0,800.0
2022-05-27 15:30:00,16232.0,LONG,15:15訊號進場,2022-06-10 15:30:00,16433.0,201.0,2.0,4.0,197.0,39400.0,197.0,39400.0,15:15訊號翻正_平倉,4.0,800.0
2022-07-21 15:30:00,14733.0,LONG,15:15訊號進場,2022-07-22 15:30:00,14785.0,52.0,2.0,4.0,48.0,9600.0,48.0,9600.0,15:15訊號翻正_平倉,4.0,800.0
2022-07-25 15:30:00,14797.0,LONG,15:15訊號進場,2022-07-26 15:30:00,14721.0,-76.0,2.0,4.0,-80.0,-16000.0,-80.0,-16000.0,15:15訊號翻正_平倉,4.0,800.0
2022-07-27 15:30:00,14790.0,LONG,15:15訊號進場,2022-08-02 15:30:00,14637.0,-153.0,2.0,4.0,-157.0,-31400.0,-157.0,-31400.0,15:15訊號翻正_平倉,4.0,800.0
2022-08-04 15:30:00,14647.0,LONG,15:15訊號進場,2022-08-10 15:30:00,14883.0,236.0,2.0,4.0,232.0,46400.0,232.0,46400.0,15:15訊號翻正_平倉,4.0,800.0
2022-08-11 15:30:00,15228.0,LONG,15:15訊號進場,2022-08-17 13:15:00,15455.0,227.0,2.0,4.0,223.0,44600.0,223.0,44600.0,結算日13:15平倉,4.0,800.0
2022-08-17 15:30:00,15364.0,LONG,15:15訊號進場,2022-08-18 15:30:00,15298.0,-66.0,2.0,4.0,-70.0,-14000.0,-70.0,-14000.0,15:15訊號翻正_平倉,4.0,800.0
2022-08-19 15:30:00,15332.0,LONG,15:15訊號進場,2022-08-22 15:30:00,15166.0,-166.0,2.0,4.0,-170.0,-34000.0,-170.0,-34000.0,15:15訊號翻正_平倉,4.0,800.0
2022-08-31 15:30:00,15003.0,LONG,15:15訊號進場,2022-09-01 15:30:00,14696.0,-307.0,2.0,4.0,-311.0,-62200.0,-311.0,-62200.0,15:15訊號翻正_平倉,4.0,800.0
2022-11-02 15:30:00,13070.0,LONG,15:15訊號進場,2022-11-03 15:30:00,12926.0,-144.0,2.0,4.0,-148.0,-29600.0,-148.0,-29600.0,15:15訊號翻正_平倉,4.0,800.0
2022-11-04 15:30:00,13022.0,LONG,15:15訊號進場,2022-11-16 13:15:00,14500.0,1478.0,2.0,4.0,1474.0,294800.0,1474.0,294800.0,結算日13:15平倉,4.0,800.0
2022-11-16 15:30:00,14523.0,LONG,15:15訊號進場,2022-11-18 15:30:00,14480.0,-43.0,2.0,4.0,-47.0,-9400.0,-47.0,-9400.0,15:15訊號翻正_平倉,4.0,800.0
2022-11-22 15:30:00,14500.0,LONG,15:15訊號進場,2022-11-25 15:30:00,14701.0,201.0,2.0,4.0,197.0,39400.0,197.0,39400.0,15:15訊號翻正_平倉,4.0,800.0
2022-11-29 15:30:00,14645.0,LONG,15:15訊號進場,2022-12-02 15:30:00,14896.0,251.0,2.0,4.0,247.0,49400.0,247.0,49400.0,15:15訊號翻正_平倉,4.0,800.0
2022-12-07 15:30:00,14584.0,LONG,15:15訊號進場,2022-12-08 15:30:00,14522.0,-62.0,2.0,4.0,-66.0,-13200.0,-66.0,-13200.0,15:15訊號翻正_平倉,4.0,800.0
2022-12-09 15:30:00,14731.0,LONG,15:15訊號進場,2022-12-13 15:30:00,14528.0,-203.0,2.0,4.0,-207.0,-41400.0,-207.0,-41400.0,15:15訊號翻正_平倉,4.0,800.0
2022-12-14 15:30:00,14686.0,LONG,15:15訊號進場,2022-12-16 15:30:00,14485.0,-201.0,2.0,4.0,-205.0,-41000.0,-205.0,-41000.0,15:15訊號翻正_平倉,4.0,800.0
2022-12-19 15:30:00,14423.0,LONG,15:15訊號進場,2022-12-20 15:30:00,14176.0,-247.0,2.0,4.0,-251.0,-50200.0,-251.0,-50200.0,15:15訊號翻正_平倉,4.0,800.0
2022-12-21 15:30:00,14176.0,LONG,15:15訊號進場,2022-12-28 15:30:00,14144.0,-32.0,2.0,4.0,-36.0,-7200.0,-36.0,-7200.0,15:15訊號翻正_平倉,4.0,800.0
2022-12-30 15:30:00,14098.0,LONG,15:15訊號進場,2023-01-30 13:15:00,15446.0,1348.0,2.0,4.0,1344.0,268800.0,1344.0,268800.0,結算日13:15平倉,4.0,800.0
2023-01-30 15:30:00,15426.0,LONG,15:15訊號進場,2023-01-31 15:30:00,15296.0,-130.0,2.0,4.0,-134.0,-26800.0,-134.0,-26800.0,15:15訊號翻正_平倉,4.0,800.0
2023-02-01 15:30:00,15408.0,LONG,15:15訊號進場,2023-02-06 15:30:00,15402.0,-6.0,2.0,4.0,-10.0,-2000.0,-10.0,-2000.0,15:15訊號翻正_平倉,4.0,800.0
2023-02-07 15:30:00,15402.0,LONG,15:15訊號進場,2023-02-15 13:15:00,15397.0,-5.0,2.0,4.0,-9.0,-1800.0,-9.0,-1800.0,結算日13:15平倉,4.0,800.0
2023-02-16 15:30:00,15545.0,LONG,15:15訊號進場,2023-02-22 15:30:00,15381.0,-164.0,2.0,4.0,-168.0,-33600.0,-168.0,-33600.0,15:15訊號翻正_平倉,4.0,800.0
2023-02-23 15:30:00,15590.0,LONG,15:15訊號進場,2023-03-08 15:30:00,15783.0,193.0,2.0,4.0,189.0,37800.0,189.0,37800.0,15:15訊號翻正_平倉,4.0,800.0
2023-03-13 15:30:00,15514.0,LONG,15:15訊號進場,2023-03-14 15:30:00,15344.0,-170.0,2.0,4.0,-174.0,-34800.0,-174.0,-34800.0,15:15訊號翻正_平倉,4.0,800.0
2023-03-17 15:30:00,15405.0,LONG,15:15訊號進場,2023-03-20 15:30:00,15277.0,-128.0,2.0,4.0,-132.0,-26400.0,-132.0,-26400.0,15:15訊號翻正_平倉,4.0,800.0
2023-03-21 15:30:00,15472.0,LONG,15:15訊號進場,2023-03-28 15:30:00,15701.0,229.0,2.0,4.0,225.0,45000.0,225.0,45000.0,15:15訊號翻正_平倉,4.0,800.0
2023-03-29 15:30:00,15755.0,LONG,15:15訊號進場,2023-04-13 15:30:00,15842.0,87.0,2.0,4.0,83.0,16600.0,83.0,16600.0,15:15訊號翻正_平倉,4.0,800.0
2023-04-14 15:30:00,15957.0,LONG,15:15訊號進場,2023-04-18 15:30:00,15893.0,-64.0,2.0,4.0,-68.0,-13600.0,-68.0,-13600.0,15:15訊號翻正_平倉,4.0,800.0
2023-04-20 15:30:00,15739.0,LONG,15:15訊號進場,2023-04-21 15:30:00,15622.0,-117.0,2.0,4.0,-121.0,-24200.0,-121.0,-24200.0,15:15訊號翻正_平倉,4.0,800.0
2023-04-27 15:30:00,15432.0,LONG,15:15訊號進場,2023-05-10 15:30:00,15612.0,180.0,2.0,4.0,176.0,35200.0,176.0,35200.0,15:15訊號翻正_平倉,4.0,800.0
2023-05-12 15:30:00,15510.0,LONG,15:15訊號進場,2023-05-17 13:15:00,15950.0,440.0,2.0,4.0,436.0,87200.0,436.0,87200.0,結算日13:15平倉,4.0,800.0
2023-05-17 15:30:00,15868.0,LONG,15:15訊號進場,2023-05-24 15:30:00,16028.0,160.0,2.0,4.0,156.0,31200.0,156.0,31200.0,15:15訊號翻正_平倉,4.0,800.0
2023-05-25 15:30:00,16211.0,LONG,15:15訊號進場,2023-05-30 15:30:00,16587.0,376.0,2.0,4.0,372.0,74400.0,372.0,74400.0,15:15訊號翻正_平倉,4.0,800.0
2023-06-02 15:30:00,16730.0,LONG,15:15訊號進場,2023-06-05 15:30:00,16701.0,-29.0,2.0,4.0,-33.0,-6600.0,-33.0,-6600.0,15:15訊號翻正_平倉,4.0,800.0
2023-06-06 15:30:00,16753.0,LONG,15:15訊號進場,2023-06-08 15:30:00,16732.0,-21.0,2.0,4.0,-25.0,-5000.0,-25.0,-5000.0,15:15訊號翻正_平倉,4.0,800.0
2023-06-09 15:30:00,16860.0,LONG,15:15訊號進場,2023-06-14 15:30:00,17207.0,347.0,2.0,4.0,343.0,68600.0,343.0,68600.0,15:15訊號翻正_平倉,4.0,800.0
2023-06-15 15:30:00,17334.0,LONG,15:15訊號進場,2023-06-16 15:30:00,17265.0,-69.0,2.0,4.0,-73.0,-14600.0,-73.0,-14600.0,15:15訊號翻正_平倉,4.0,800.0
